t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R79,R80,R81,R82,R92.1,R93.1,R94.1,R95.1,R96.1,R97.1,R98.1,R83.1,R84.1,R85.1,R86.1,R87.1,R88.1,R89.1,R90.1,R75.1,R76.1,R77.1,R78.1,R79.1,R80.1,R81.1,R82.1
0,0.0342505164444447,-0.0212239064276218,0.0193621814250946,0.015758266672492,-0.0453138425946236,-0.00285118096508086,-0.0113832475617528,-0.0030488395132124402,0.0109762093052268,-0.0503372997045517,0.00199648854322731,-0.0572427920997143,-0.0313801951706409,-0.048155259341001504,-0.0129465293139219,0.0136074731126428,0.00517072668299079,-0.00225976947695017,0.025917671620845798,0.0275700278580189,0.0275239367038012,0.0016113376477733302,0.026209868490696,0.0248403251171112,0.106960128992796,0.109936736524105,0.11595005355775401,0.00851058214902878,0.0654420105274767,0.1086679501459,0.11449457472190301,0.12372273858636601,0.108096897602081,0.11203991738147999,0.0576521717011929,0.0659131817519665,0.0636459849774837,0.107948476448655,0.0702209183946252,0.127417282667011,0.120299301110208,0.11769537627696999,0.126402448862791,0.127223530784249,0.110295303747989,0.120284408330917,0.130547784268856
5,0.0345567688345909,-0.0210489071905613,0.0196512509137392,0.0158707611262798,-0.0460833795368671,-0.00327383982948959,-0.011225433088839101,-0.0028347778134048,0.0119199650362134,-0.0494630746543407,0.00317618367262185,-0.0565013810992241,-0.0306630078703165,-0.0477435402572155,-0.0122996522113681,0.013837947510182901,0.00580666540190578,-0.00196601869538426,0.0263286102563143,0.0279645621776581,0.027779396623373,0.00197540270164609,0.0265473648905754,0.024927044287324,0.10713512822985599,0.11022580601275,0.11606254801154099,0.0077410452067852,0.0650193516630679,0.108825764618814,0.11470863642171,0.124666494317353,0.108971122652292,0.11321961251087499,0.058393582701683,0.0666303690522909,0.0640577040612698,0.108595353551209,0.0704513927921653,0.128053221385926,0.120593051891774,0.11810631491243799,0.12679698318243,0.127478990703821,0.110659368801862,0.120621904730797,0.130634503439069
10,0.03484271094203,-0.0208926573395729,0.0199035927653313,0.0159606076776981,-0.0465911887586117,-0.00350665091536939,-0.0110754296183586,-0.00262618064880371,0.012665281072258899,-0.048752136528492,0.00412305817008018,-0.0559068508446217,-0.0301700346171856,-0.0474427528679371,-0.011798867955803899,0.0139934159815311,0.00636837957426906,-0.00174180022440851,0.0266583058983088,0.0282950308173895,0.028003625571727798,0.00228946679271758,0.026795806363225,0.0249981395900249,0.107291378080845,0.110478147864342,0.11615239456296,0.00723323598504066,0.0647865405771881,0.10897576808929399,0.114917233586311,0.125411810353398,0.109682060778141,0.114166487008333,0.0589881129562855,0.0671233423054218,0.0643584914505482,0.109096137806773,0.07060686126351359,0.128614935558289,0.12081727036275,0.118436010554433,0.127127451822162,0.12770321965217601,0.110973432892933,0.120870346203446,0.13070559874176998
15,0.0351044274866581,-0.0207606218755245,0.0201285928487778,0.0160231105983257,-0.0476677604019642,-0.00403712270781398,-0.010950431227684,-0.00244570733048022,0.0132621573284268,-0.0481529161334038,0.0049230670556426005,-0.0553826317191124,-0.029751285910606398,-0.047238849103450796,-0.0113926213234663,0.014066066592931699,0.00687229121103883,-0.00156523706391454,0.0269122123718262,0.0285567473620176,0.0281942449510098,0.00256368634290993,0.0270137786865234,0.025045795366168,0.107423413544893,0.110703147947788,0.116214897483587,0.00615666434168816,0.0642560687847435,0.109100766479969,0.115097706904635,0.126008686609566,0.11028128117322901,0.114966495893896,0.059512332081794704,0.067542091012001,0.0645623952150345,0.10950238443911099,0.0706795118749142,0.129118847195059,0.12099383352324401,0.11868991702795001,0.12738916836679,0.127893839031458,0.111247652443126,0.121088318526745,0.130753254517913
20,0.0353169329464436,-0.0206285957247019,0.0203489009290934,0.016097325831651698,-0.0481333881616592,-0.0045082187280058895,-0.0108246514573693,-0.0022691534832119903,0.0137504385784268,-0.0476427599787712,0.00561057077720761,-0.0548771619796753,-0.0293489396572113,-0.0470763482153416,-0.0110473055392504,0.0141301341354847,0.00731291761621833,-0.0014222717145457899,0.027115335687995,0.028773937374353402,0.0283669084310532,0.0028066539671272,0.0272223651409149,0.0250793918967247,0.107555439695716,0.110923456028104,0.116289112716913,0.0056910365819931,0.0637849727645516,0.109226546250284,0.115274260751903,0.126496967859566,0.110791437327862,0.11565399961546101,0.0600178018212318,0.0679444372653961,0.0647248961031437,0.109847700223327,0.0707435794174671,0.12955947360023898,0.121136798872612,0.118893040344119,0.12760635837912598,0.128066502511501,0.111490620067343,0.12129690498113599,0.13078685104847
25,0.0355036519467831,-0.020516872406005898,0.020472344011068302,0.0161434169858694,-0.0488161966204643,-0.00502853374928236,-0.010725431144237501,-0.0021183681674301603,0.0141215417534113,-0.047194316983222996,0.00619729049503803,-0.0544209070503712,-0.029089564457535702,-0.0469482205808163,-0.010755118913948501,0.0141934109851718,0.00770588871091604,-0.0012988280504941901,0.027284087613225,0.0289622209966183,0.0285169016569853,0.00302539812400937,0.027417678385973,0.025119237601757,0.107667163014412,0.11104689911007899,0.116335203871131,0.00500822812318802,0.06326465774327521,0.109325766563416,0.115425046067685,0.126868071034551,0.11123988032341,0.116240719333291,0.060474056750536,0.0682038124650717,0.064853023737669,0.110139886848629,0.0708068562671542,0.129952444694936,0.121260242536664,0.119061792269349,0.12779464200139,0.12821649573743302,0.111709364224225,0.121492218226194,0.130826696753502
30,0.0356888100504875,-0.020401248708367303,0.0207075010985136,0.016194200143218002,-0.0492287017405033,-0.00538712507113814,-0.0106262108311057,-0.00196758261881769,0.0144457621499896,-0.0467943176627159,0.00674416543915868,-0.053963091224432,-0.0289372205734253,-0.0468224436044693,-0.010491838678717601,0.0142449755221605,0.00805510487407446,-0.00119414331857115,0.0274215880781412,0.029103621840477,0.0286434646695852,0.00321524613536894,0.027602843940258002,0.025131739675998698,0.10778278671205,0.111282056197524,0.11638598702848,0.00459572300314903,0.06290606642141941,0.10942498687654699,0.11557583161629699,0.127192291431129,0.111639879643917,0.116787594277412,0.0609318725764751,0.0683561563491821,0.064978800714016,0.110403167083859,0.070858420804143,0.130301660858095,0.121364927268587,0.119199292734265,0.127936042845249,0.12834305875003302,0.111899212235585,0.121677383780479,0.130839198827744
35,0.0358536504209042,-0.0202910900115967,0.0208785906434059,0.016238735988736198,-0.0496732331812382,-0.00573713285848498,-0.0105332471430302,-0.00182539934758097,0.0147090433165431,-0.0464411899447441,0.0072621344588697,-0.0535334050655365,-0.028833312913775402,-0.0467013493180275,-0.0102543355897069,0.014295758679509201,0.0083652688190341,-0.00109805108513683,0.0275333113968372,0.0292395688593388,0.0287497229874134,0.00339259137399495,0.027786435559392,0.0251504890620708,0.10789294540882101,0.111453145742416,0.11643052287399801,0.00415119156241417,0.0625560586340725,0.109517950564623,0.115718014887534,0.127455572597682,0.111993007361889,0.117305563297123,0.0613615587353706,0.068460064008832,0.0650998950004578,0.11064067017287,0.0709092039614916,0.130611824803054,0.121461019502021,0.11931101605296099,0.128071989864111,0.128449317067862,0.112076557474211,0.12186097539961299,0.130857948213816
40,0.0360028743743896,-0.0201871860772371,0.0210457798093557,0.0162754524499178,-0.0502794869244099,-0.00578557001426816,-0.0104488655924797,-0.0016910170670598702,0.0149340433999896,-0.0461208745837212,0.0077285477891564395,-0.0531271547079086,-0.028508309274911898,-0.0465677529573441,-0.0100301168859005,0.014347324147820499,0.00864886306226254,-0.0010097693884745201,0.027639560401439698,0.0292965974658728,0.0288622174412012,0.00355275138281286,0.0279614347964525,0.0251661110669374,0.107996849343181,0.11162033490836601,0.116467239335179,0.00354493781924248,0.06250762147828941,0.10960233211517299,0.11585239716805501,0.127680572681129,0.112313322722912,0.117771976627409,0.0617678090929985,0.0687850676476955,0.0652334913611412,0.110864888876677,0.0709607694298029,0.130895419046283,0.12154930119868401,0.11941726505756399,0.128129018470645,0.128561811521649,0.11223671748302899,0.122035974636674,0.130873570218682
45,0.036142710596323,-0.0200895313173532,0.0211707875132561,0.0163090415298939,-0.051324799656868,-0.0059777544811368,-0.0103738689795136,-0.0015714931068942,0.0151184173300862,-0.0458388477563858,0.00815120711922646,-0.0527708977460861,-0.028192685917019802,-0.0464450977742672,-0.0098301125690341,0.0144012253731489,0.00890589691698551,-0.000924615829717368,0.027727060019969902,0.029370030388236,0.0289426892995834,0.00370119092985988,0.0281309690326452,0.0251770485192537,0.10809450410306501,0.111745342612267,0.116500828415155,0.00249962508678436,0.0623154370114207,0.109677328728139,0.115971921128221,0.127864946611226,0.112595349550247,0.11819463595747899,0.062124066054821,0.0691006910055876,0.0653561465442181,0.111064893193543,0.0710146706551313,0.131152452901006,0.121634454757441,0.119504764676094,0.128202451393008,0.128642283380032,0.112385157030076,0.122205508872867,0.130884507670999
