t_s,R91,s.1,R92,s.2,R93,s.3,R94,s.4,R95,s.5,R96,s.6,R97,s.7,R98,s.8,R83,s.9,R84,s.10,R85,s.11,R86,s.12,R87,s.13,R88,s.14,R89,s.15,R90,s.16,R75,s.17,R76,s.18,R77,s.19,R78,s.20,R80,s.21,R81,s.22,R82
0,0.041574764996767,0,0.0476513579487801,0,0.0664842426776886,0,0.0647803321480751,0,0.06627406924963,0,0.0569302923977375,0,0.0765522345900536,0,0.0820077285170555,0,0.0389731973409653,0,0.070729561150074,0,0.0379505343735218,0,0.0384028814733028,0,0.053259190171957,0,0.0447302423417568,0,0.063766248524189,0,0.0490302629768848,0,0.0356513112783432,0,0.0342630185186863,0,0.0196449942886829,0,0.0232809446752071,0,0.0542130917310715,0,0.0195012465119362,0,0.0329122357070446
5,0.041261862963438,5,0.0478322021663189,5,0.0663557052612305,5,0.0647853836417198,5,0.0660744681954384,5,0.0570979118347168,5,0.0766448006033897,5,0.0818244963884354,5,0.0392774604260921,5,0.070996381342411,5,0.0383712761104107,5,0.0387228019535542,5,0.0532619468867779,5,0.044886875897646,5,0.0640354156494141,5,0.0493556968867779,5,0.0359884276986122,5,0.0345118530094624,5,0.0199180599302053,5,0.0235352516174316,5,0.0544338226318359,5,0.0197930335998535,5,0.0332149527966976
10,0.0408790595829487,10,0.0479415915906429,10,0.0661760345101357,10,0.0647229179739952,10,0.0662932395935059,10,0.0571994781494141,10,0.0766682624816895,10,0.0815979987382889,10,0.0394805930554867,10,0.0711760520935059,10,0.0386837013065815,10,0.0389415733516216,10,0.0531760230660439,10,0.0449416153132915,10,0.0641994476318359,10,0.0495821945369244,10,0.0362150184810162,10,0.0346602462232113,10,0.0200899131596088,10,0.0237305648624897,10,0.0545743964612484,10,0.019996166229248,10,0.0334259048104286
15,0.0404649749398232,15,0.048027515411377,15,0.0660198256373405,15,0.0645744353532791,15,0.0662932395935059,15,0.0572775863111019,15,0.0767073631286621,15,0.0813870429992676,15,0.0396759025752544,15,0.0713322684168816,15,0.0389650352299213,15,0.0391447059810162,15,0.0530822761356831,15,0.0449806228280067,15,0.0643479377031326,15,0.0497931502759457,15,0.0364181511104107,15,0.0348009131848812,15,0.0202462207525969,15,0.023902416229248,15,0.0547150634229183,15,0.0201836582273245,15,0.0336212180554867
20,0.0401212684810162,20,0.0481134429574013,20,0.0659104362130165,20,0.0644182190299034,20,0.0662932395935059,20,0.057347871363163,20,0.0767307281494141,20,0.0812151953577995,20,0.0398400314152241,20,0.0714729353785515,20,0.0392306335270405,20,0.0393243804574013,20,0.0529650710523129,20,0.0449962615966797,20,0.0644650459289551,20,0.0499884597957134,20,0.0365900062024593,20,0.0349181182682514,20,0.0203711520880461,20,0.0240587238222361,20,0.054840087890625,20,0.020355511456728,20,0.0337852500379086
25,0.0397696495056152,25,0.0481760017573833,25,0.065832331776619,25,0.0643010139465332,25,0.0663010627031326,25,0.0573947913944721,25,0.0767307281494141,25,0.0810667052865028,25,0.039988424628973,25,0.0715901404619217,25,0.0394649505615234,25,0.0394884124398232,25,0.0528478622436523,25,0.0449962615966797,25,0.0645744353532791,25,0.0501681342720985,25,0.036738395690918,25,0.0350196845829487,25,0.0204805377870798,25,0.0241992957890034,25,0.0549494735896587,25,0.0205039978027344,25,0.0339259169995785
30,0.0393755435943604,30,0.048189640045166,30,0.0657514184713364,30,0.0641686022281647,30,0.0662701800465584,30,0.0573896691203117,30,0.0766842812299728,30,0.0808866322040558,30,0.0400732047855854,30,0.071655347943306,30,0.0396474152803421,30,0.039592731744051,30,0.0526584051549435,30,0.044931810349226,30,0.0646100044250488,30,0.0502880848944187,30,0.0368161574006081,30,0.0350669287145138,30,0.0205168724060059,30,0.024273918941617,30,0.0550068467855453,30,0.0205965600907803,30,0.0340106748044491
35,0.0390247516334057,35,0.0482201091945171,35,0.0657444000244141,35,0.0640842244029045,35,0.0662881433963776,35,0.0574177913367748,35,0.0766741186380386,35,0.0807694420218468,35,0.0401872619986534,35,0.0717436373233795,35,0.0398466400802135,35,0.0397208482027054,35,0.052511528134346,35,0.0448966585099697,35,0.0646826699376106,35,0.0504404231905937,35,0.0369239710271358,35,0.0351458340883255,35,0.0205848403275013,35,0.0243848599493504,35,0.0550990365445614,35,0.0207160953432322,35,0.0341270826756954
40,0.0386677272617817,40,0.0482201091945171,40,0.065747506916523,40,0.0639873519539833,40,0.0662623569369316,40,0.0574295111000538,40,0.0766506716609001,40,0.0806741341948509,40,0.0402919463813305,40,0.0718240886926651,40,0.0400317944586277,40,0.0398372635245323,40,0.0523623079061508,40,0.0448529049754143,40,0.064745157957077,40,0.0505857355892658,40,0.0370247438549995,40,0.0352216139435768,40,0.020644998177886,40,0.0244903266429901,40,0.0551873184740543,40,0.0208293721079826,40,0.0342356786131859
45,0.0383161641657352,45,0.0482505708932877,45,0.0658022090792656,45,0.0639147013425827,45,0.0663287714123726,45,0.0574466995894909,45,0.0766366198658943,45,0.0806069523096085,45,0.0403927303850651,45,0.0719022154808044,45,0.0402138233184814,45,0.039954449981451,45,0.0522146485745907,45,0.0448052473366261,45,0.0648068785667419,45,0.0507341772317886,45,0.037120845168829,45,0.035295058041811,45,0.020704373717308,45,0.0245950128883123,45,0.055278729647398,45,0.0209410954266787,45,0.0343434885144234
