t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123,R75n,R77n,R78n,R80n,R81n,R83n,R92n,R98n,R102n,R103n,R104n,R105n,R106n,R116n,R117n,R118n,R119n,R120n,R121n,R122n,R123n
0,0.00436368910595775,-0.0146473217755556,-0.012112932279706,0.024622363969683602,0.0218871962279081,-0.0455450937151909,0.0211817156523466,0.0146059123799205,0.0239864159375429,0.0112879369407892,0.0097355842590332,0.00131289474666119,-0.00342149729840457,0.0110598085448146,-0.026108302175998698,-0.0329364538192749,-0.022528599947691,-0.00111367227509618,-0.0433044619858265,-0.102080464363098,-0.022367658093571698,0.0954186054877937,-0.012655096128583001,0.028395337983965898,0.0982555579394102,0.113801373168826,0.038791187107563,0.0991894137114286,0.105348023585975,0.0922284889966249,0.0440619084984064,0.10250902175903301,0.108852071687579,0.106618213700131,0.0875053880736232,0.1046347245574,0.0918689966201782,0.0891514308750629,0.0811130809597671,0.0725946240127087,0.0420998334884644,0.133609591051936
5,0.00441017141565681,-0.014597701840102699,-0.0120586398988962,0.024668026715517002,0.02193365059793,-0.0454884544014931,0.021230507642030702,0.0146446228027344,0.0240274425595999,0.011332035064697299,0.00978517532348633,0.0013554573524743301,-0.00337114348076284,0.0110977170988917,-0.0260586738586426,-0.0328946113586426,-0.0224805828183889,-0.0010663986904546601,-0.0432540886104107,-0.102824591100216,-0.022324277088046098,0.0954650877974927,-0.01260547619313,0.0284496303647757,0.0983012206852436,0.11384782753884799,0.0388478264212608,0.0992382057011127,0.10538673400878901,0.0922695156186819,0.0441060066223145,0.102558612823486,0.108894634293392,0.106668567517772,0.0875432966277003,0.104684352874756,0.0919108390808105,0.089199448004365,0.0811603545444086,0.0726449973881245,0.0413557067513466,0.133652972057462
10,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
15,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219926834106445,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.113906860351562,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
20,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0014457702636718802,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.10898494720459,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
25,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
30,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
35,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
40,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
45,0.00449180603027344,-0.0145702362060547,-0.0119924545288086,0.0246486663818359,0.0219144821166992,-0.0453519821166992,0.0212106704711914,0.0146484375,0.024024009704589802,0.0113668441772461,0.00980472564697266,0.0013675689697265601,-0.00332069396972656,0.0111331939697266,-0.0259761810302734,-0.0327739715576172,-0.0223827362060547,-0.0010547637939453101,-0.0431642532348633,-0.10277366638183599,-0.0222263336181641,0.0955467224121094,-0.012578010559082,0.0285158157348633,0.0982818603515625,0.11382865905761701,0.0389842987060547,0.0992183685302734,0.105390548706055,0.0922660827636719,0.0441408157348633,0.102578163146973,0.108906745910645,0.10671901702880901,0.0875787734985352,0.104766845703125,0.0920314788818359,0.0892972946166992,0.081171989440918,0.0727348327636719,0.0414066314697266,0.133750915527344
