t_s,R75,51,R77,53,R78,55,R80,57,R81,59,R83,61,R92,63,R98,65,R102,67,R103,69,R104,71,R105,73,R106,75,R99,77,R100,79,R101,81,R116,83,R117,85,R118,87,R119,89,R120,91,R121,93,R122,95,R123
0,0.013109034858644,0,0.0322700403630733,0,-0.0161137282848358,0,-0.019763745367527,0,0.0247278306633234,0,-0.0318762920796871,0,-0.0351645834743977,0,-0.0333927050232887,0,0.0550123192369938,0,0.0367427133023739,0,-0.0469068177044392,0,0.0442193113267422,0,0.0227918811142445,0,0.102399997413158,0,-0.0012066459748894,0,-0.102080464363098,0,0.0277637764811516,0,-0.102080464363098,0,0.0330778583884239,0,0.0505857355892658,0,0.00833558104932308,0,0.0498068332672119,0,0.0443224310874939,0,0.0596381165087223
10,0.0147540094330907,10,0.0331133864820004,10,-0.0158320423215628,10,-0.0167305003851652,10,0.0254415515810251,10,-0.0315978042781353,10,-0.0350899696350098,10,-0.0331055633723736,10,0.0553322806954384,10,0.037285327911377,10,-0.0440821647644043,10,0.044871237128973,10,0.0249259006232023,10,1.02400004863739,10,0.00082426070002839,10,-1.02400004863739,10,0.0294102672487497,10,-1.02400004863739,10,0.0348087325692177,10,0.050957202911377,10,0.00994148291647434,10,0.0499103553593159,10,0.0449494384229183,10,0.0599103942513466
20,0.0158205032348633,20,0.0336332321166992,20,-0.0156641006469727,20,-0.0143356323242188,20,0.0258989334106445,20,-0.031367301940918,20,-0.0349607467651367,20,-0.0328512191772461,20,0.0555076599121094,20,0.0375394821166992,20,-0.0419139862060547,20,0.0452737808227539,20,0.0264453887939453,20,5.64537334442139,20,0.00222682952880859,20,-2.07590675354004,20,0.0305080413818359,20,-6.17045307159424,20,0.0358982086181641,20,0.0511331558227539,20,0.0110549926757812,20,0.0498828887939453,20,0.0453519821166992,20,0.0601177215576172
30,0.0166015625,30,0.0340232849121094,30,-0.0155858993530273,30,-0.0123825073242188,30,0.0262889862060547,30,-0.0312108993530273,30,-0.0349607467651367,30,-0.0326175689697266,30,0.0555858612060547,30,0.0377740859985352,30,-0.0402736663818359,30,0.0456638336181641,30,0.0276174545288086,30,5.34865283966064,30,0.00324249267578125,30,-2.70692443847656,30,0.0312891006469727,30,-6.36381340026855,30,0.0367584228515625,30,0.0512895584106445,30,0.011836051940918,30,0.0498828887939453,30,0.0456638336181641,30,0.0601959228515625
40,0.0170707702636719,40,0.0343360900878906,40,-0.015507698059082,40,-0.0108203887939453,40,0.0265235900878906,40,-0.031132698059082,40,-0.0348825454711914,40,-0.0324611663818359,40,0.0556640625,40,0.0378513336181641,40,-0.0388669967651367,40,0.0458984375,40,0.0284767150878906,40,5.06849575042725,40,0.00402355194091797,40,-3.27536392211914,40,0.0319919586181641,40,-6.54514217376709,40,0.0373830795288086,40,0.0514459609985352,40,0.0124607086181641,40,0.0498046875,40,0.0459766387939453,40,0.0602741241455078
50,0.0173826217651367,50,0.0345706939697266,50,-0.015507698059082,50,-0.00957012176513672,50,0.0267581939697266,50,-0.0309762954711914,50,-0.0348825454711914,50,-0.0323047637939453,50,0.0556640625,50,0.0379295349121094,50,-0.0376176834106445,50,0.0461330413818359,50,0.0292577743530273,50,4.80146312713623,50,0.00464820861816406,50,-3.78630352020264,50,0.0325393676757812,50,-6.71443939208984,50,0.0379295349121094,50,0.0515232086181641,50,0.0130081176757812,50,0.0496482849121094,50,0.0461330413818359,50,0.0603513717651367
60,0.0176172256469727,60,0.0347270965576172,60,-0.0155858993530273,60,-0.00847625732421875,60,0.0269145965576172,60,-0.0308980941772461,60,-0.0348043441772461,60,-0.0321483612060547,60,0.0556640625,60,0.0379295349121094,60,-0.0366020202636719,60,0.0462894439697266,60,0.0298051834106445,60,4.54466533660889,60,0.00519561767578125,60,-4.247398853302,60,0.0330076217651367,60,-6.87233066558838,60,0.0383205413818359,60,0.0515232086181641,60,0.0133981704711914,60,0.0494928359985352,60,0.0462894439697266,60,0.0603513717651367
70,0.0177736282348633,70,0.0348052978515625,70,-0.0156641006469727,70,-0.00753879547119141,70,0.0270700454711914,70,-0.0307426452636719,70,-0.0347270965576172,70,-0.0319919586181641,70,0.0556640625,70,0.0379295349121094,70,-0.0356645584106445,70,0.0463676452636719,70,0.0302734375,70,4.29739952087402,70,0.00574207305908203,70,-4.66357231140137,70,0.0334768295288086,70,-7.02037811279297,70,0.0386333465576172,70,0.0515232086181641,70,0.013789176940918,70,0.0493364334106445,70,0.0463676452636719,70,0.0603513717651367
80,0.0180082321166992,80,0.0348825454711914,80,-0.0156641006469727,80,-0.00667953491210938,80,0.027226448059082,80,-0.0306644439697266,80,-0.0346488952636719,80,-0.0318355560302734,80,0.0556640625,80,0.0379295349121094,80,-0.0348043441772461,80,0.0464458465576172,80,0.0306644439697266,80,4.05708599090576,80,0.00621128082275391,80,-5.03958940505981,80,0.0338668823242188,80,-7.15951919555664,80,0.0388669967651367,80,0.0515232086181641,80,0.0141019821166992,80,0.0491800308227539,80,0.0464458465576172,80,0.0603513717651367
90,0.0181646347045898,90,0.0349607467651367,90,-0.0158205032348633,90,-0.00597667694091797,90,0.0273046493530273,90,-0.0305080413818359,90,-0.0346488952636719,90,-0.0316801071166992,90,0.0556640625,90,0.0379295349121094,90,-0.0341014862060547,90,0.0465240478515625,90,0.0309762954711914,90,3.82435035705566,90,0.00667953491210938,90,-5.38005924224854,90,0.0341796875,90,-7.29006671905518,90,0.0391016006469727,90,0.0515232086181641,90,0.0143356323242188,90,0.048945426940918,90,0.0465240478515625,90,0.0602741241455078
100,0.0183982849121094,100,0.035038948059082,100,-0.0158987045288086,100,-0.00519561767578125,100,0.0273828506469727,100,-0.0304298400878906,100,-0.0345706939697266,100,-0.0315237045288086,100,0.0555858612060547,100,0.0379295349121094,100,-0.0333986282348633,100,0.0465240478515625,100,0.0312891006469727,100,3.59778690338135,100,0.00714874267578125,100,-5.68920135498047,100,0.0345706939697266,100,-7.41326999664307,100,0.0392580032348633,100,0.0515232086181641,100,0.0145702362060547,100,0.048710823059082,100,0.0466022491455078,100,0.0602741241455078
110,0.0185546875,110,0.0351171493530273,110,-0.0159769058227539,110,-0.00449180603027344,110,0.027461051940918,110,-0.0302734375,110,-0.0344924926757812,110,-0.031367301940918,110,0.0555858612060547,110,0.0379295349121094,110,-0.0327739715576172,110,0.0466022491455078,110,0.0316019058227539,110,3.37841129302979,110,0.00761699676513672,110,-5.96779584884644,110,0.0348825454711914,110,-7.52873945236206,110,0.0394144058227539,110,0.0515232086181641,110,0.0147266387939453,110,0.0484771728515625,110,0.0466022491455078,110,0.0601959228515625
