t_s,R75,s.1,R77,s.2,R78,s.3,R80,s.4,R81,s.5,R83,s.6,R92,s.7,R98,s.8,R100,s.9,R102,s.10,R105,s.11,R114,s.12,R117,s.13,R120,s.14,R121,s.15,R122,s.16,R124,s.17,R125,s.18,R126,s.19,R127,s.20,R128,s.21,R129
0.0,-0.0185770224779844,0.0,-0.0433380529284477,0.0,-0.0181184280663729,0.0,-0.0458810329437256,0.0,0.003085555974394,0.0,-0.0274653378874063,0.0,-0.0160246659070253,0.0,0.0105691812932491,0.0,0.0065261935815215,0.0,0.0337809845805168,0.0,0.0097551150247454,0.0,-0.0524630881845951,0.0,-0.0144535731524229,0.0,0.0389130376279354,0.0,0.0335778594017029,0.0,0.0032793139107525,0.0,-0.0409552343189716,0.0,-0.0095324609428644,0.0,-0.0294005014002323,0.0,0.102399997413158,0.0,0.102399997413158,0.0,0.102399997413158
10.0,-0.0168164260685444,10.0,-0.0419025421142578,10.0,-0.0168242454528809,10.0,-0.044121265411377,10.0,0.001800823258236,10.0,-0.0277462005615234,10.0,-0.0098789213225245,10.0,0.0116992956027389,10.0,0.0061211585998535,10.0,0.0328477881848812,10.0,0.0095508573576808,10.0,-0.0542385093867779,10.0,-0.0146758081391454,10.0,0.0394024848937988,10.0,0.0332227721810341,10.0,0.0040586474351584,10.0,-0.0409493446350098,10.0,-0.0092695234343409,10.0,-0.029691506177187,10.0,0.124191857874393,10.0,0.123309038579464,10.0,0.115199662744999
20.0,-0.015629006549716,20.0,-0.0404025092720985,20.0,-0.015683650970459,20.0,-0.0426525138318539,20.0,0.0006914138793945,20.0,-0.0277070999145508,20.0,-0.0053554535843431,20.0,0.0128164291381836,20.0,0.0056914328597486,20.0,0.0320352576673031,20.0,0.009261799044907,20.0,-0.0535119064152241,20.0,-0.0148789407685399,20.0,0.0397852919995785,20.0,0.0328868888318539,20.0,0.0047461511567235,20.0,-0.0409962646663189,20.0,-0.0090508460998535,20.0,-0.030097771435976,20.0,0.123598098754883,20.0,0.123215295374393,20.0,0.11481685936451
30.0,-0.0147851947695017,30.0,-0.0392774604260921,30.0,-0.0149180414155126,30.0,-0.0413947105407715,30.0,-8.98361249710433e-05,30.0,-0.0274806022644043,30.0,-0.0020664215553551,30.0,0.0137461666017771,30.0,0.0053164483979344,30.0,0.0312461853027344,30.0,0.0089023588225245,30.0,-0.0563634894788265,30.0,-0.0150039670988917,30.0,0.040215015411377,30.0,0.0325665473937988,30.0,0.0051836012862622,30.0,-0.0410743728280067,30.0,-0.0088477134704589,30.0,-0.0300431251525879,30.0,0.123027801513672,30.0,0.123121552169323,30.0,0.11443405598402
40.0,-0.014128970913589,40.0,-0.0389102958142757,40.0,-0.0143867498263717,40.0,-0.0402540229260921,40.0,-0.0007382393232546,40.0,-0.0271524433046579,40.0,0.0005507469177246,40.0,0.0144571308046579,40.0,0.0049961092881858,40.0,0.0304962154477835,40.0,0.0084805488586425,40.0,-0.0561135299503803,40.0,-0.0150820733979344,40.0,0.0405821800231934,40.0,0.0322462096810341,40.0,0.0057929991744458,40.0,-0.0411134734749794,40.0,-0.0086524011567235,40.0,-0.0296758655458689,40.0,0.122473143041134,40.0,0.123027801513672,40.0,0.114059068262577
50.0,-0.0136211393401027,50.0,-0.0388400070369244,50.0,-0.0140039445832372,50.0,-0.0392618179321289,50.0,-0.0013398170704022,50.0,-0.0267539974302053,50.0,0.0025429725646972,50.0,0.0150196077302098,50.0,0.0047305109910666,50.0,0.029761791229248,50.0,0.0080664632841944,50.0,-0.0544416420161724,50.0,-0.0150586133822799,50.0,0.0409337989985943,50.0,0.0320118926465511,50.0,0.0064570428803563,50.0,-0.0411681197583675,50.0,-0.008457088842988,50.0,-0.0295899398624897,50.0,0.121934033930302,50.0,0.122926235198975,50.0,0.113676264882088
60.0,-0.0132461553439498,60.0,-0.0388634689152241,60.0,-0.0137851713225245,60.0,-0.0384181030094624,60.0,-0.0017930030589923,60.0,-0.0263320934027433,60.0,0.004105472471565,60.0,0.0155352596193552,60.0,0.0044726370833814,60.0,0.0290742870420218,60.0,0.0077930451370775,60.0,-0.052886962890625,60.0,-0.0149961477145553,60.0,0.0412540435791016,60.0,0.031855583190918,60.0,0.0071210861206054,60.0,-0.0412072204053402,60.0,-0.0082617765292525,60.0,-0.0290664676576853,60.0,0.12141066044569,60.0,0.122824668884277,60.0,0.113309003412724
70.0,-0.0129492757841945,70.0,-0.0388711951673031,70.0,-0.0136054996401072,70.0,-0.0376524925231934,70.0,-0.0021914483513683,70.0,-0.0259336475282907,70.0,0.0056836130097508,70.0,0.0159414298832417,70.0,0.004105472471565,70.0,0.0284180641174316,70.0,0.0073711397126317,70.0,-0.0514025688171387,70.0,-0.014894581399858,70.0,0.0415197387337685,70.0,0.0317305587232113,70.0,0.0077617648057639,70.0,-0.0412462241947651,70.0,-0.0080821039155125,70.0,-0.0282852184027433,70.0,0.120902828872204,70.0,0.12272310256958,70.0,0.112941838800907
80.0,-0.0128477094694972,80.0,-0.0389962196350098,80.0,-0.0134882926940918,80.0,-0.0369806289672852,80.0,-0.0025742531288415,80.0,-0.025605583563447,80.0,0.007011794950813,80.0,0.0162071231752634,80.0,0.0038398744072765,80.0,0.0277853012084961,80.0,0.0071289064362645,80.0,-0.0501056686043739,80.0,-0.0147227291017771,80.0,0.0417696945369244,80.0,0.0316368117928505,80.0,0.0083320615813136,80.0,-0.0412696860730648,80.0,-0.0079257963225245,80.0,-0.0283399578183889,80.0,0.120418451726437,80.0,0.122621536254883,80.0,0.112566851079464
90.0,-0.0127774244174361,90.0,-0.0390665046870708,90.0,-0.0134101873263717,90.0,-0.0363555923104286,90.0,-0.0030117034912109,90.0,-0.0253555309027433,90.0,0.0084805488586425,90.0,0.0164570808410645,90.0,0.0036758424248546,90.0,0.0271993633359671,90.0,0.0069492342881858,90.0,-0.0489103309810162,90.0,-0.0145352361723781,90.0,0.0419884696602821,90.0,0.0315587036311626,90.0,0.0089258197695016,90.0,-0.0412931442260742,90.0,-0.0077695846557617,90.0,-0.0277305599302053,90.0,0.11993408203125,90.0,0.122512154281139,90.0,0.112199686467648
