t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
0,,,,,,,,,0.0389731973409653,,0.0379505343735218,0.0384028814733028,,,,0.0490302629768848,0.0356513112783432,0.0342630185186863,0.0196449942886829,0.0232809446752071,0.0542130917310715,0.0195012465119362,0.0329122357070446
5,,,,,,,,,0.0392774604260921,,0.0383712761104107,0.0387228019535542,,,,0.0493556968867779,0.0359884276986122,0.0345118530094624,0.0199180599302053,0.0235352516174316,0.0544338226318359,0.0197930335998535,0.0332149527966976
10,,,,,,,,,0.0394805930554867,,0.0386837013065815,0.0389415733516216,,,,0.0495821945369244,0.0362150184810162,0.0346602462232113,0.0200899131596088,0.0237305648624897,0.0545743964612484,0.019996166229248,0.0334259048104286
15,,,,,,,,,0.0396759025752544,,0.0389650352299213,0.0391447059810162,,,,0.0497931502759457,0.0364181511104107,0.0348009131848812,0.0202462207525969,0.023902416229248,0.0547150634229183,0.0201836582273245,0.0336212180554867
20,,,,,,,,,0.0398400314152241,,0.0392306335270405,0.0393243804574013,,,,0.0499884597957134,0.0365900062024593,0.0349181182682514,0.0203711520880461,0.0240587238222361,0.054840087890625,0.020355511456728,0.0337852500379086
25,,,,,,,,,0.039988424628973,,0.0394649505615234,0.0394884124398232,,,,0.0501681342720985,0.036738395690918,0.0350196845829487,0.0204805377870798,0.0241992957890034,0.0549494735896587,0.0205039978027344,0.0339259169995785
30,,,,,,,,,0.0400732047855854,,0.0396474152803421,0.039592731744051,,,,0.0502880848944187,0.0368161574006081,0.0350669287145138,0.0205168724060059,0.024273918941617,0.0550068467855453,0.0205965600907803,0.0340106748044491
35,,,,,,,,,0.0401872619986534,,0.0398466400802135,0.0397208482027054,,,,0.0504404231905937,0.0369239710271358,0.0351458340883255,0.0205848403275013,0.0243848599493504,0.0550990365445614,0.0207160953432322,0.0341270826756954
40,,,,,,,,,0.0402919463813305,,0.0400317944586277,0.0398372635245323,,,,0.0505857355892658,0.0370247438549995,0.0352216139435768,0.020644998177886,0.0244903266429901,0.0551873184740543,0.0208293721079826,0.0342356786131859
45,,,,,,,,,0.0403927303850651,,0.0402138233184814,0.039954449981451,,,,0.0507341772317886,0.037120845168829,0.035295058041811,0.020704373717308,0.0245950128883123,0.055278729647398,0.0209410954266787,0.0343434885144234
