t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
0,0.013109034858644,0.0322700403630733,,,0.0247278306633234,,,,,,,0.0442193113267422,0.0227918811142445,,-0.0012066459748894,,,,,0.0505857355892658,0.008335581049323,,0.0443224310874939,
10,0.0147540094330907,0.0331133864820004,,,0.0254415515810251,,,,,,,0.044871237128973,0.0249259006232023,,0.0008242607000283,,,,,0.050957202911377,0.0099414829164743,,0.0449494384229183,
20,0.0158205032348633,0.0336332321166992,,,0.0258989334106445,,,,,,,0.0452737808227539,0.0264453887939453,,0.0022268295288085,,,,,0.0511331558227539,0.0110549926757812,,0.0453519821166992,
30,0.0166015625,0.0340232849121094,,,0.0262889862060547,,,,,,,0.0456638336181641,0.0276174545288086,,0.0032424926757812,,,,,0.0512895584106445,0.011836051940918,,0.0456638336181641,
40,0.0170707702636719,0.0343360900878906,,,0.0265235900878906,,,,,,,0.0458984375,0.0284767150878906,,0.0040235519409179,,,,,0.0514459609985352,0.0124607086181641,,0.0459766387939453,
50,0.0173826217651367,0.0345706939697266,,,0.0267581939697266,,,,,,,0.0461330413818359,0.0292577743530273,,0.004648208618164,,,,,0.0515232086181641,0.0130081176757812,,0.0461330413818359,
60,0.0176172256469727,0.0347270965576172,,,0.0269145965576172,,,,,,,0.0462894439697266,0.0298051834106445,,0.0051956176757812,,,,,0.0515232086181641,0.0133981704711914,,0.0462894439697266,
70,0.0177736282348633,0.0348052978515625,,,0.0270700454711914,,,,,,,0.0463676452636719,0.0302734375,,0.005742073059082,,,,,0.0515232086181641,0.013789176940918,,0.0463676452636719,
80,0.0180082321166992,0.0348825454711914,,,0.027226448059082,,,,,,,0.0464458465576172,0.0306644439697266,,0.0062112808227539,,,,,0.0515232086181641,0.0141019821166992,,0.0464458465576172,
90,0.0181646347045898,0.0349607467651367,,,0.0273046493530273,,,,,,,0.0465240478515625,0.0309762954711914,,0.0066795349121093,,,,,0.0515232086181641,0.0143356323242188,,0.0465240478515625,
100,0.0183982849121094,0.035038948059082,,,0.0273828506469727,,,,,,,0.0465240478515625,0.0312891006469727,,0.0071487426757812,,,,,0.0515232086181641,0.0145702362060547,,0.0466022491455078,
110,0.0185546875,0.0351171493530273,,,0.027461051940918,,,,,,,0.0466022491455078,0.0316019058227539,,0.0076169967651367,,,,,0.0515232086181641,0.0147266387939453,,0.0466022491455078,
120,0.0187892913818359,0.0351171493530273,,,0.0275392532348633,,,,,,,0.0466022491455078,0.0318365097045898,,0.0080080032348632,,,,,0.0514459609985352,0.0148830413818359,,0.0466794967651367,
130,0.0189456939697266,0.0351171493530273,,,0.0275392532348633,,,,,,,0.0466022491455078,0.0320701599121094,,0.0083980560302734,,,,,0.0514459609985352,0.0150394439697266,,0.0466794967651367,
140,0.0191793441772461,0.0351171493530273,,,0.0276174545288086,,,,,,,0.0466022491455078,0.0323047637939453,,0.0087108612060546,,,,,0.0513677597045898,0.0151958465576172,,0.0466794967651367,
150,0.019413948059082,0.0351171493530273,,,0.0276174545288086,,,,,,,0.0466022491455078,0.0324611663818359,,0.0091018676757812,,,,,0.0512895584106445,0.0153512954711914,,0.0466794967651367,
160,0.019648551940918,0.0351953506469727,,,0.0276956558227539,,,,,,,0.0466022491455078,0.0326175689697266,,0.0093364715576171,,,,,0.0512895584106445,0.0154294967651367,,0.0466794967651367,
170,0.0198831558227539,0.0351171493530273,,,0.0276956558227539,,,,,,,0.0466022491455078,0.0327739715576172,,0.009648323059082,,,,,0.0512113571166992,0.0155858993530273,,0.0466794967651367,
180,0.0201177597045898,0.0351171493530273,,,0.0276956558227539,,,,,,,0.0466022491455078,0.0329294204711914,,0.0099611282348632,,,,,0.0511331558227539,0.0156641006469727,,0.0466794967651367,
