t_s,R75,R77,R78,R80,R81,R83,R92,R98,R100,R102,R105,R114,R117,R120,R121,R122,R124,R125,R126,R127,R128,R129
0.0,-0.0185770224779844,-0.0433380529284477,-0.0181184280663729,,0.003085555974394,-0.0274653378874063,-0.0160246659070253,0.0105691812932491,0.0065261935815215,,,-0.0524630881845951,-0.0144535731524229,,0.0335778594017029,,,,,,,
10.0,-0.0168164260685444,-0.0419025421142578,-0.0168242454528809,,0.001800823258236,-0.0277462005615234,-0.0098789213225245,0.0116992956027389,0.0061211585998535,,,-0.0542385093867779,-0.0146758081391454,,0.0332227721810341,,,,,,,
20.0,-0.015629006549716,-0.0404025092720985,-0.015683650970459,,0.0006914138793945,-0.0277070999145508,-0.0053554535843431,0.0128164291381836,0.0056914328597486,,,-0.0535119064152241,-0.0148789407685399,,0.0328868888318539,,,,,,,
30.0,-0.0147851947695017,-0.0392774604260921,-0.0149180414155126,,-8.98361249710433e-05,-0.0274806022644043,-0.0020664215553551,0.0137461666017771,0.0053164483979344,,,-0.0563634894788265,-0.0150039670988917,,0.0325665473937988,,,,,,,
40.0,-0.014128970913589,-0.0389102958142757,-0.0143867498263717,,-0.0007382393232546,-0.0271524433046579,0.0005507469177246,0.0144571308046579,0.0049961092881858,,,-0.0561135299503803,-0.0150820733979344,,0.0322462096810341,,,,,,,
50.0,-0.0136211393401027,-0.0388400070369244,-0.0140039445832372,,-0.0013398170704022,-0.0267539974302053,0.0025429725646972,0.0150196077302098,0.0047305109910666,,,-0.0544416420161724,-0.0150586133822799,,0.0320118926465511,,,,,,,
60.0,-0.0132461553439498,-0.0388634689152241,-0.0137851713225245,,-0.0017930030589923,-0.0263320934027433,0.004105472471565,0.0155352596193552,0.0044726370833814,,,-0.052886962890625,-0.0149961477145553,,0.031855583190918,,,,,,,
70.0,-0.0129492757841945,-0.0388711951673031,-0.0136054996401072,,-0.0021914483513683,-0.0259336475282907,0.0056836130097508,0.0159414298832417,0.004105472471565,,,-0.0514025688171387,-0.014894581399858,,0.0317305587232113,,,,,,,
80.0,-0.0128477094694972,-0.0389962196350098,-0.0134882926940918,,-0.0025742531288415,-0.025605583563447,0.007011794950813,0.0162071231752634,0.0038398744072765,,,-0.0501056686043739,-0.0147227291017771,,0.0316368117928505,,,,,,,
90.0,-0.0127774244174361,-0.0390665046870708,-0.0134101873263717,,-0.0030117034912109,-0.0253555309027433,0.0084805488586425,0.0164570808410645,0.0036758424248546,,,-0.0489103309810162,-0.0145352361723781,,0.0315587036311626,,,,,,,
100.0,-0.0126445768401027,-0.0390196815133095,-0.0133555410429835,,-0.0031523704528808,-0.0250821113586426,0.0097695356234908,0.0166758541017771,0.0035586357116699,,,-0.0479024909436703,-0.0143242841586471,,0.0314493179321289,,,,,,,
110.0,-0.0125195505097508,-0.038902472704649,-0.0133086210116744,,-0.0033788681030273,-0.024808693677187,0.0108554838225245,0.0168711673468351,0.003496074816212,,,-0.0472931861877441,-0.0140742305666208,,0.031433679163456,,,,,,,
120.0,-0.0124414442107081,-0.0388321876525879,-0.0132696153596044,,-0.0035429955460131,-0.0245586391538382,0.0118555072695017,0.0170273780822754,0.0034336091484874,,,-0.0468556396663189,-0.0138164525851607,,0.031410314142704,,,,,,,
130.0,-0.0123711591586471,-0.0387540832161903,-0.0132383350282907,,-0.0036835670471191,-0.024293040856719,0.0127696041017771,0.0171680450439453,0.0033711434807628,,,-0.0460509322583675,-0.0135273933410645,,0.031410314142704,,,,,,,
140.0,-0.0123164178803563,-0.0386368744075298,-0.0132148740813136,,-0.003777313278988,-0.0240274425595999,0.0135039333254099,0.0173164363950491,0.0033164024353027,,,-0.0457306876778603,-0.0132226943969727,,0.0314493179321289,,,,,,,
150.0,-0.0122774122282863,-0.0385431312024593,-0.0132148740813136,,-0.0038398744072765,-0.0237462054938078,0.0142227178439498,0.0174180027097464,0.0032539367675781,,,-0.0451369285583496,-0.0129023557528853,,0.0314571373164654,,,,,,,
160.0,-0.012363338842988,-0.0385665893554688,-0.0132461553439498,,-0.0039726258255541,-0.023496150970459,0.0148789407685399,0.0174414645880461,0.0031913758721202,,,-0.0443009398877621,-0.0125821111723781,,0.0314414985477924,,,,,,,
170.0,-0.0123476982116699,-0.0385509505867958,-0.0132774356752634,,-0.0040741921402514,-0.0232461933046579,0.0155508043244481,0.0175273902714252,0.0031054497230798,,,-0.0436056144535542,-0.0122383115813136,,0.0314493179321289,,,,,,,
180.0,-0.0123398778960109,-0.0385274887084961,-0.0133164403960109,,-0.0040898323059082,-0.0229649543762207,0.016089916229248,0.0175743103027344,0.0031758309341967,,,-0.0430118553340435,-0.0118946079164743,,0.0314571373164654,,,,,,,
190.0,-0.0123398778960109,-0.038480568677187,-0.0133711816743016,,-0.004105472471565,-0.022699261084199,0.0165899284183979,0.0176133159548044,0.0031289102043956,,,-0.0424415580928326,-0.0115273473784328,,0.031433679163456,,,,,,,
200.0,-0.0123398778960109,-0.0384415648877621,-0.0134258270263672,,-0.0040976526215672,-0.0223946571350098,0.0170742999762297,0.017636775970459,0.003066444536671,,,-0.0419493690133095,-0.0111523633822799,,0.0314258597791195,,,,,,,
210.0,-0.0123398778960109,-0.0384259223937988,-0.0134727479889989,,-0.0040820124559104,-0.0221055038273335,0.0175273902714252,0.0177227016538382,0.0030038834083825,,,-0.0414258949458599,-0.0107851987704635,,0.031410314142704,,,,,,,
220.0,-0.0123476982116699,-0.0383946411311626,-0.0135352136567235,,-0.0040508271194994,-0.0218164455145597,0.0179336555302143,0.0177539829164743,0.002917957259342,,,-0.0409025214612484,-0.010410213842988,,0.0313946716487408,,,,,,,
230.0,-0.0123789785429835,-0.0384102836251259,-0.0136211393401027,,-0.0040039061568677,-0.021543025970459,0.0183320995420218,0.0178086291998625,0.0028163909446448,,,-0.0404025092720985,-0.0100430492311716,,0.0313633941113949,,,,,,,
240.0,-0.0123867988586426,-0.0384102836251259,-0.0136914253234863,,-0.0039492608048021,-0.0212617870420218,0.0186680797487497,0.017832089215517,0.0027070045471191,,,-0.0397696495056152,-0.0096679693087935,,0.0313555710017681,,,,,,,
250.0,-0.0124570848420262,-0.0384415648877621,-0.0137929916381836,,-0.0039023400750011,-0.0209883693605661,0.0190742500126362,0.0178555492311716,0.0026132583152502,,,-0.0392852798104286,-0.0093008046969771,,0.0313321128487587,,,,,,,
